john,0.996160866415,51.6070483603,3206447.56224
mary,0.00260632378623,62.5274106566,2179981.77099
william,0.996465194794,49.3142627727,2496586.51368
anna,6.06373527686e-05,38.8016618222,462795.433052
james,0.995714839415,51.5434294237,3401648.71687
emma,5.34939958988e-09,19.89772121,451342.898117
charles,0.996119763303,52.8427359115,1417407.40077
elizabeth,0.00130766532856,41.2963408198,1180836.28896
george,0.995924105945,56.9986902364,680872.326223
minnie,5.69455319019e-09,75.2579556167,29721.3753423
frank,0.998877132286,56.4064853834,430389.826467
margaret,0.000836262372229,60.6116532772,599866.78751
joseph,0.997170257291,41.9812129015,1816043.97049
ida,9.71449090718e-08,70.6820477953,45773.1106004
thomas,0.99819722616,49.7072233703,1644117.90185
alice,0.000285840728911,60.4817428083,241172.241021
henry,0.998210722974,42.8440903577,342295.65512
bertha,3.97390876369e-08,70.9913724163,49635.8229243
robert,0.995913174887,53.7516456762,3130513.88658
sarah,0.00128557814472,32.5535546844,901437.492685
edward,0.999125349978,53.9184159741,711843.3871
annie,0.000978205955712,59.5710943744,135483.847918
harry,0.999751724775,61.3944985288,152688.009374
clara,3.01010808933e-08,48.5757275583,101121.476976
walter,0.998428704965,58.3048219455,267946.720733
ella,1.42473859431e-10,24.382185853,177493.279378
arthur,0.998734377726,57.2897417704,239545.071661
florence,1.20961200039e-06,76.2799549939,67180.3514863
fred,0.999696178242,65.0763794361,134686.400409
cora,3.22688970846e-11,37.740217691,56228.1165196
albert,0.999556883234,56.0653048117,216503.270261
martha,0.000261710909154,62.884024858,292268.312048
samuel,1.0,29.6864898902,585479.259769
laura,0.000272666772144,44.6040433222,643579.588597
david,0.996713898511,47.1430574128,2988068.81635
nellie,4.84544156389e-12,74.8232088914,30636.1762488
louis,0.999362574713,53.268410014,195817.126239
grace,1.66768254258e-08,27.731860196,285977.555877
joe,0.979790459131,57.6638863656,250810.558279
carrie,2.4428677054e-09,46.0428546416,176235.516617
charlie,0.861973609519,42.2968812913,91923.6354672
maude,5.35012881837e-10,82.0703217691,2607.43043293
clarence,0.999999999989,61.4725191079,111233.452966
mabel,7.79063279824e-08,70.6429195908,15980.9721491
richard,0.997136180076,55.4286343045,1765071.50569
bessie,7.78031270649e-08,75.4199183909,32007.5289567
andrew,0.998823808615,29.8652580405,1130683.06513
jennie,4.8413645612e-10,57.4243687822,42919.8980566
daniel,0.997720268554,36.9641174014,1661727.51995
gertrude,1.49936223505e-07,79.652563879,26095.0695108
ernest,1.0,58.052834846,143057.628518
julia,9.24606793366e-10,35.4095231589,315140.413295
will,1.0,34.9789625868,20208.3670491
hattie,2.49887440792e-09,65.5729090354,22787.2094755
jesse,0.978422389151,34.0483194496,335695.289603
edith,3.25624559717e-08,62.6091915359,85263.0676565
oscar,1.0,30.5986073074,134557.852149
mattie,8.18801725271e-08,64.2001227921,37363.9157984
lewis,1.0,54.725543377,73290.4725355
rose,0.000349748063206,59.2625966711,224978.823683
peter,1.0,47.1817390147,428115.056108
catherine,6.97771794238e-10,50.2527182067,424981.648104
benjamin,1.0,26.0561183317,637651.977118
lillian,3.67616088894e-07,36.2267396815,193850.191644
frederick,1.0,53.9509723692,154540.671848
ada,1.50562534793e-11,51.3634856035,29055.8068564
willie,0.830925079332,61.2744435056,272767.924694
lillie,7.01981483569e-10,60.7664323601,50485.8720486
alfred,1.0,58.9914686733,107380.85321
helen,0.00116102081303,68.5712770562,313926.010963
sam,1.0,48.7975565955,54303.7218788
jessie,0.486644144387,47.319736775,133052.209289
roy,0.999449588607,57.8508278685,209931.012389
louise,0.00131237088432,72.0595946002,109011.983859
herbert,1.0,64.4099705112,85785.8342324
ethel,0.000147802349294,75.4669148208,59038.4853937
jacob,1.0,19.4821354221,861351.733496
lula,1.05398658173e-10,76.043334681,18763.2807942
tom,1.0,61.5514621442,81477.3548367
myrtle,1.5742975846e-10,79.205181184,21613.6156347
elmer,0.998950649086,62.5130272711,33800.9247461
eva,1.12951455997e-08,41.05547305,129979.042197
carl,0.999778034141,56.2128935902,281089.446779
frances,0.00285498145402,66.9924480845,241796.756581
lee,0.768151811169,53.2616826718,188400.268865
lena,2.70123300722e-11,45.4985568839,51643.4112268
howard,0.999892418496,61.9681331659,154338.782995
lucy,3.83630104276e-10,36.3932103569,105714.445503
martin,1.0,45.9192772835,217318.308905
edna,1.97011879249e-07,72.0939920616,76954.1669067
michael,0.995301575739,43.0955827084,3852912.82479
maggie,8.06824093892e-10,31.0361691037,62665.4795662
bert,0.999999997907,63.1210804671,12396.3338515
pearl,0.00768656857859,65.7777327675,31097.2943301
herman,1.0,62.9120231776,50289.362166
daisy,1.59735729821e-11,30.370021971,87332.3001481
jim,1.0,61.4195512124,94962.0160105
fannie,3.80366539216e-11,75.6062160126,17372.5094515
francis,0.928311889081,58.582579919,137656.248117
josephine,3.67191885252e-08,52.0410221981,118256.251057
harvey,1.0,60.8111517192,53040.189013
dora,1.80856544525e-13,64.2685316948,39320.9439029
earl,0.9990028827,62.186385589,118119.888802
rosa,0.0,49.6829393307,101829.632907
eugene,0.998935633439,61.2405211416,178117.061261
katherine,1.43014494641e-11,37.802335027,496137.384841
ralph,0.999814198384,62.5920283055,186632.162675
agnes,8.39707369923e-08,76.6715756171,31245.4120152
ed,1.0,63.3624330118,9486.81617308
marie,2.99637035283e-05,61.0826725461,228634.5972
claude,1.0,63.4841727966,35493.732566
nora,8.26314848484e-10,34.3485705076,86863.0564791
edwin,1.0,43.4028346593,142638.300574
may,2.69726692637e-10,75.5644828719,7199.31847482
